17031916,Arjun,Neupane,Birauta,9818181953,arjun@gmail.com,Computing,1/8/2020 0:00
17031917,Ashish,Bhandaru,Kalika,9818181954,ashish@gmail.com,Multimedia Technologies,1/2/2020 0:00
17031918,Ujwal,Parajuli,SimalChaur,9818181955,ujwal@gmail.com,Networks and IT Security,1/3/2020 0:00
17031919,Niru,Neupane,Pokhara,9818181956,niru@gmail.com,Computing,1/4/2020 0:00
17031911,Sushil,Shrestha,Chitwan,9818181957,sushil@gmail.com,Multimedia Technologies,1/5/2020 0:00
17031912,Abinash,Neupane,Kathmandu,9818181958,abinash@gmail.com,Networks and IT Security,1/6/2020 0:00
17031913,Shilpa,Pokhrel,SimalChaur,9818181934,shilpa@gmail.com,Computing,1/7/2020 0:00
17031914,Anju,Basnet,Gharepatan,9818181945,anju@gmail.com,Multimedia Technologies,1/8/2020 0:00
17031915,Jeevan,Thapa,Amarsinghchowk,9818181965,jeevan@gmail.com,Networks and IT Security,1/9/2020 0:00
17031920,Keshav,GT,Ranipauwa,9818181923,keshav@gmail.com,Computing,1/10/2020 0:00
17031921,Himlal,Sharma,Chhorepatan,9818181934,himlal@gmail.com,Multimedia Technologies,1/2/2020 0:00
17031922,Nabaraj,Neupane,Newroad,9818181965,nabaraj@gmail.com,Networks and IT Security,1/2/2020 0:00
